price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
120000,50,-34.6054382,-58.413499,Almagro
67000,32,-34.6235,-58.3977,San Cristobal
122000,45,-34.6097224,-58.430979,Caballito
92082.74,56,-34.6264374,-58.4598574,Flores
83000,36,-34.6045568,-58.4297968,Almagro
130000,50,-34.5972063,-58.4416496,Villa Crespo
139000,42,-34.597769,-58.42644,Villa Crespo
120000,96,-34.634709,-58.480246,Floresta
111000,52,,,San Cristobal
95000,40,-34.55954207,-58.464061,Belgrano
221700,69,-34.597769,-58.42644,Villa Crespo
205000,55,-34.5760392,-58.4569527,Colegiales
90000,50,-34.5742412,-58.4882355,Villa Urquiza
220000,81,-34.600433,-58.393042,Recoleta
125000,70,-34.6112232,-58.41567,Once
99000,38,-34.56922571,-58.48903522,Villa Urquiza
132000,33,-34.557808,-58.4519581,Belgrano
197900,96,-34.59741,-58.375055,Retiro
78000,35,-34.632917,-58.370265,Barracas
114000,35,-34.5691963,-58.4453972,Belgrano
100000,86,-34.651762,-58.50547,Mataderos
108600,39,-34.6028196,-58.4050207,Balvanera
157000,86,-34.6022019,-58.3976113,Barrio Norte
360877.62,96,-34.56822,-58.458337,Belgrano
60000,36,-34.58486174,-58.48928382,Villa Pueyrredón
97000,40,-34.6209278,-58.4458736,Caballito
136000,46,-34.623771,-58.440083,Caballito
240000,70,-34.5597901,-58.4600378,Belgrano
142000,53,-34.582649,-58.432937,Palermo
310000,93,-34.60371374,-58.38158089,Belgrano
103018,33,-34.5688504,-58.4550232,Belgrano
107000,31,-34.6738382,-58.5115799,Palermo
101613.98,49,-34.6261244,-58.3859524,Constitución
135000,40,-34.5862322,-58.4491936,Colegiales
119000,39,-34.593848,-58.40036,Recoleta
220000,67,-34.5585253,-58.4513614,Belgrano
185000,96,-34.6086522,-58.4193876,Almagro
170000,58,-34.5963329,-58.3748272,Retiro
227473.79,68,-34.574537,-58.4554388,Colegiales
85000,34,,,San Telmo
150000,75,-34.6316435,-58.5192618,Versalles
130000,54,,,
175000,99,-34.622756,-58.443138,Caballito
180000,70,-34.5500232,-58.4634115,Nuñez
331000,73,-34.56020984,-58.4438492,Belgrano
92000,40,-34.570884,-58.488694,Villa Urquiza
